model_name,date,hour,response_length,response_time_ms,sources_count,id
Claude-3-Sonnet,2025-07-28,13,359.5,2645.2,0.0,10
Claude-3-Sonnet,2025-07-28,14,922.14,6810.57,0.0,7
GPT-4o,2025-07-21,13,2387.29,11522.29,0.0,7
GPT-4o,2025-07-21,14,2376.0,12889.12,0.0,8
GPT-4o,2025-07-28,13,851.7,3645.4,0.0,10
GPT-4o,2025-07-28,14,2183.57,14905.29,0.0,7
Gemini-Pro,2025-07-28,13,1254.5,2577.4,0.0,10
Gemini-Pro,2025-07-28,14,3186.17,6643.83,0.0,6
Google-Search,2025-07-21,13,38036.86,433.86,10.0,7
Google-Search,2025-07-21,14,40187.38,386.25,10.0,8
Google-Search,2025-07-28,13,16953.2,206.5,4.0,10
Google-Search,2025-07-28,14,40785.0,438.86,10.0,7
Perplexity-Online,2025-07-28,14,1807.0,8298.67,10.0,3
